LON,LAT,PLOTID,point_id,esa_lc20,gfc_tc00,gfc_loss,gfc_year,gfc_gain,tmf_main_cl,tmf_subtypes,tmf_1990,tmf_1995,tmf_2000,tmf_2005,tmf_2010,tmf_2015,tmf_2020,tmf_def_yr,tmf_deg_yr,point_idx,dates,ts,images,geometry,bfast_change_date,bfast_magnitude,bfast_means,mon_images,cusum_change_date,cusum_confidence,cusum_magnitude,ts_mean,ts_sd,ts_min,ts_max,bs_slope_mean,bs_slope_sd,bs_slope_min,bs_slope_max,Kmeans
-79.5701478248486,0.6105579526420234,200591.0,200591.0,10,76,0,,0,70,91,6,6,6,6,6,6,6,0.0,0.0,3,"DatetimeIndex(['2016-02-05', '2016-04-01', '2016-04-17', '2016-04-25',
               '2016-05-03', '2017-01-22', '2017-02-15', '2017-02-23',
               '2017-04-04', '2017-04-28', '2017-05-06', '2017-06-23',
               '2018-08-05', '2018-10-16', '2019-02-05', '2019-04-26',
               '2021-03-14'],
              dtype='datetime64[ns]', name='imageID', freq=None)","[8909, 8382, 8969, 8821, 8904, 8148, 8750, 8997, 8996, 8251, 8726, 5363, 8540, 7270, 8936, 8879, 9033]",23,POINT (-79.5701478248486 0.6105579526420234),-1.0,0.0,0.0,17,2017.345,0.10866740345954895,4216.5302734375,8656.9375,447.08674616202836,7270,9033,-37.633675599934215,127.55807646738695,214.26650047307112,-895.2278672419588,4
-79.79477058131489,0.6106114618546647,200604.0,200604.0,10,99,0,,0,10,10,1,1,1,1,1,1,1,0.0,0.0,3,"DatetimeIndex(['2016-05-03', '2016-07-14', '2017-01-22', '2017-03-19',
               '2017-05-06', '2018-04-23', '2019-04-10', '2020-03-03',
               '2020-04-04', '2020-05-06', '2021-01-17', '2021-03-06',
               '2021-06-10'],
              dtype='datetime64[ns]', name='imageID', freq=None)","[8674, 8848, 8199, 8626, 8214, 8383, 8335, 4770, 8526, 8352, 8734, 8586, 7611]",16,POINT (-79.79477058131489 0.6106114618546647),-2.0,0.0,0.0,13,2019.274,-0.0,3372.9228515625,8424.0,314.41851090544907,7611,8848,-153.3357562116311,106.74458109288113,74.75270229417012,-540.7164554246979,4
-79.52524913634146,0.5201006286718204,200553.0,200553.0,10,98,0,,0,70,91,6,6,6,6,6,6,6,0.0,0.0,3,"DatetimeIndex(['2016-02-05', '2016-04-01', '2017-01-22', '2017-04-04',
               '2017-05-06', '2017-05-30', '2018-05-01', '2019-04-02',
               '2019-04-26', '2020-03-03', '2020-08-10', '2020-10-13',
               '2021-03-30', '2021-06-10'],
              dtype='datetime64[ns]', name='imageID', freq=None)","[8725, 7873, 8517, 8810, 8029, 9036, 8934, 7158, 8918, 5894, 8787, 8387, 8331, 4418]",19,POINT (-79.52524913634146 0.5201006286718204),-2.0,0.0,0.0,14,2019.318,-0.044389743357896805,4117.6435546875,7986.928571428572,1284.6786960329093,4418,9036,-326.9843686507562,180.73915947240528,72.63224329166684,-894.0522760601211,4
-79.66003438388397,0.42968343661109826,200306.0,200306.0,30,98,0,,0,20,26,1,1,1,1,1,1,2,0.0,2016.0,1,"DatetimeIndex(['2016-04-01', '2016-04-17', '2016-05-03', '2016-06-20',
               '2016-11-27', '2017-01-22', '2017-02-23', '2017-03-19',
               '2017-04-28', '2017-05-06', '2018-02-26', '2018-05-01',
               '2018-10-16', '2019-04-10', '2019-04-18', '2019-04-26',
               '2019-07-15', '2020-03-03', '2020-04-28', '2020-08-10',
               '2021-03-14'],
              dtype='datetime64[ns]', name='imageID', freq=None)","[8332, 8561, 7738, 8010, 6064, 7338, 8389, 8404, 7110, 7051, 8682, 6207, 7185, 8436, 8567, 8914, 8996, 4020, 8478, 7543, 8786]",31,POINT (-79.66003438388397 0.4296834366110983),2018.332,-3659.845947265625,-1.1734702587127686,21,2019.537,-0.0245232954621315,3901.380859375,7939.55,847.1277043633976,6064,8996,-1.5110574746091006,163.85569979439566,480.2107830081066,-484.92599828807585,4
-79.52521346353303,0.6557687782229114,200623.0,200623.0,10,97,0,,0,10,10,1,1,1,1,1,1,1,0.0,0.0,4,"DatetimeIndex(['2016-02-05', '2016-03-24', '2016-04-01', '2016-04-17',
               '2016-04-25', '2016-05-03', '2016-11-27', '2016-12-29',
               '2017-01-22', '2017-03-19', '2017-05-06', '2017-06-23',
               '2018-04-07', '2018-05-01', '2018-07-20', '2019-02-05',
               '2019-04-18', '2019-04-26', '2020-04-20', '2020-08-10',
               '2021-03-14', '2021-04-07'],
              dtype='datetime64[ns]', name='imageID', freq=None)","[8421, 8731, 8870, 7384, 9010, 9009, 8036, 7990, 9175, 8825, 7426, 7570, 9050, 8927, 7891, 9047, 9052, 9053, 8197, 8698, 9073, 7922]",29,POINT (-79.52521346353303 0.6557687782229114),-1.0,0.0,0.0,22,2021.2,-0.05064023286104202,2341.9521484375,8516.227272727272,586.562631842824,7384,9175,38.34671635323706,59.170286279159065,208.21875215125874,-163.35181884664163,4
-79.48027910221747,0.7009751447027454,200641.0,200641.0,10,99,0,,0,10,10,1,1,1,1,1,1,1,0.0,0.0,0,"DatetimeIndex(['2016-01-04', '2016-02-05', '2016-04-01', '2016-04-25',
               '2016-05-03', '2016-11-27', '2017-01-22', '2017-05-06',
               '2018-05-01', '2018-08-05', '2019-02-05', '2019-04-18',
               '2020-08-10', '2021-03-06', '2021-06-10'],
              dtype='datetime64[ns]', name='imageID', freq=None)","[9089, 8960, 8014, 8799, 8857, 8524, 8890, 8192, 8156, 7996, 8729, 8848, 8697, 7427, 6906]",24,POINT (-79.48027910221747 0.7009751447027454),2018.332,-1101.8846435546875,-1.0416113138198853,15,2020.611,0.028927361592650414,2478.19921875,8405.6,600.1281863068923,6906,9089,-193.0173204429696,86.92332551366314,55.170507681338805,-390.03495056061496,4
-79.66001654747976,0.5201318423791945,200548.0,200548.0,10,100,0,,0,10,10,1,1,1,1,1,1,1,0.0,0.0,2,"DatetimeIndex(['2016-02-05', '2016-02-13', '2016-04-01', '2016-04-17',
               '2016-04-25', '2016-05-03', '2016-11-27', '2017-03-19',
               '2017-04-28', '2017-05-06', '2018-05-01', '2019-04-02',
               '2019-04-26', '2020-03-03', '2020-05-06', '2020-08-10',
               '2021-03-06'],
              dtype='datetime64[ns]', name='imageID', freq=None)","[8883, 8403, 8201, 8729, 8553, 8346, 8254, 8415, 7886, 8158, 8998, 7218, 8939, 8746, 8852, 8836, 7286]",21,POINT (-79.66001654747976 0.5201318423791945),-2.0,0.0,0.0,17,2020.611,-0.046622563153505325,1795.82421875,8394.29411764706,517.4356185818316,7218,8998,-29.24044775042053,75.99502850478953,174.56821506746837,-277.2815198312398,4
-79.65998087467133,0.6558044510313388,200618.0,200618.0,10,98,0,,0,10,10,1,1,1,1,1,1,1,0.0,0.0,3,"DatetimeIndex(['2016-01-04', '2016-02-05', '2016-04-25', '2016-05-03',
               '2016-11-27', '2017-01-22', '2017-02-15', '2017-04-28',
               '2017-05-06', '2018-04-07', '2019-04-26', '2020-08-10',
               '2021-01-09'],
              dtype='datetime64[ns]', name='imageID', freq=None)","[7948, 8690, 6792, 9030, 8217, 8574, 8453, 7543, 8644, 8841, 8864, 8477, 7176]",19,POINT (-79.65998087467133 0.6558044510313388),-1.0,0.0,0.0,13,2020.611,-0.0008518893155269325,2393.6943359375,8249.923076923076,665.2130325679321,6792,9030,-5.215868476528479,156.54131680149248,524.6790600681986,-302.4897309533168,4
-79.79480625412332,0.42970573211636554,200301.0,200301.0,60,98,0,,0,10,10,1,1,1,1,1,1,1,0.0,0.0,0,"DatetimeIndex(['2016-04-01', '2016-04-17', '2016-04-25', '2017-01-22',
               '2017-04-04', '2017-04-28', '2017-05-06', '2019-04-02',
               '2019-04-10', '2019-04-18', '2019-04-26', '2020-03-03',
               '2020-04-04', '2021-03-06', '2021-03-14', '2021-04-07'],
              dtype='datetime64[ns]', name='imageID', freq=None)","[7602, 8644, 8420, 8242, 8755, 8011, 8221, 8759, 8498, 5007, 8624, 5893, 8415, 8884, 8036, 8406]",20,POINT (-79.79480625412332 0.4297057321163655),-2.0,0.0,0.0,16,2019.274,0.05802900344133377,4554.1875,8026.0625,1035.223253020212,5007,8884,-70.63040443197806,97.67719960416316,135.51403069007299,-600.4303871149889,4
-79.66001654747976,0.5201318423791945,200548.0,200548.0,10,100,0,,0,10,10,1,1,1,1,1,1,1,0.0,0.0,2,"DatetimeIndex(['2016-02-05', '2016-02-13', '2016-04-01', '2016-04-17',
               '2016-04-25', '2016-05-03', '2016-11-27', '2017-03-19',
               '2017-04-28', '2017-05-06', '2018-05-01', '2019-04-02',
               '2019-04-26', '2020-03-03', '2020-05-06', '2020-08-10',
               '2021-03-06'],
              dtype='datetime64[ns]', name='imageID', freq=None)","[8883, 8403, 8201, 8729, 8553, 8346, 8254, 8415, 7886, 8158, 8998, 7218, 8939, 8746, 8852, 8836, 7286]",21,POINT (-79.66001654747976 0.5201318423791945),-2.0,0.0,0.0,17,2020.611,-0.046622563153505325,1795.82421875,8394.29411764706,517.4356185818316,7218,8998,-29.24044775042053,75.99502850478953,174.56821506746837,-277.2815198312398,4
